Hit,Smiles
1345966,COc1cc2CN(Cc3ccccc3)CCc2cc1O
1345967,COc1cc2CN(Cc3ccccc3)CCc2cc1OS(=O)(=O)N
1345968,COc1ccccc1CN2CCc3cc(O)c(OC)cc3C2
1345969,COc1ccccc1CN2CCc3cc(OS(=O)(=O)N)c(OC)cc3C2
1345970,COc1cccc(CN2CCc3cc(O)c(OC)cc3C2)c1
1345971,COc1ccc(CN2CCc3cc(O)c(OC)cc3C2)cc1
1345972,COc1ccc(CN2CCc3cc(OS(=O)(=O)N)c(OC)cc3C2)cc1
1345973,COc1cc2CN(Cc3ccccc3)C(C)Cc2cc1O
1345974,COc1cc2CN(Cc3ccccc3)C(C)Cc2cc1OS(=O)(=O)N
1345975,COc1ccccc1CN2Cc3cc(OC)c(O)cc3CC2C
1345976,COc1ccccc1CN2Cc3cc(OC)c(OS(=O)(=O)N)cc3CC2C
1345977,COc1cccc(CN2Cc3cc(OC)c(O)cc3CC2C)c1
1345978,COc1cccc(CN2Cc3cc(OC)c(OS(=O)(=O)N)cc3CC2C)c1
1345979,COc1ccc(CN2Cc3cc(OC)c(O)cc3CC2C)cc1
1346022,O[C@@H]1C=CC(=O)[C@H](O)[C@@]1(O)C(=O)OCc2cc(O)ccc2O[C@@H]3O[C@H](COC(=O)c4ccccc4)[C@@H](O)[C@H](OC(=O)c5ccccc5)[C@H]3O
1345980,COc1ccc(CN2Cc3cc(OC)c(OS(=O)(=O)N)cc3CC2C)cc1
1345981,COc1cccc(CN2CCc3cc(OS(=O)(=O)N)ccc3C2)c1
1345982,COc1cc2[C@H]3CC[C@]4(C)CCC[C@H]4[C@@H]3CCc2cc1OS(=O)(=O)N
1345983,Clc1ccc(cc1)c2oc(cc2)c3nocc3c4ccc(cc4)N5CCNCC5
1345984,Clc1ccc(cc1)c2oc(cc2)c3cc(on3)c4ccc(cc4)N5CCNCC5
1345985,Clc1ccc(cc1)c2oc(cc2)C3=NOC(=O)N3c4ccc(cc4)N5CCNCC5
1345986,Clc1ccc(cc1)c2oc(cc2)C3=NOC(N3c4ccc(cc4)N5CCNCC5)c6ccccc6
1345987,Clc1ccc(cc1)c2oc(cc2)C3ON=C(N3c4ccc(cc4)N5CCNCC5)c6ccccc6
1345988,N#Cc1ccc(cc1)c2oc(cc2)C3=NOCCN3c4ccc(cc4)N5CCNCC5
1345989,Clc1ccc(cc1)c2oc(cc2)C3=NOCCCN3c4ccc(cc4)N5CCNCC5
1345990,Clc1ccc(cc1)c2oc(cc2)C3=NOC(N3c4ccc(cc4)N5CCNCC5)c6ccccn6
1345991,Clc1ccc(cc1)c2oc(cc2)C3=NOC(N3c4ccc(cc4)N5CCNCC5)c6cccnc6
1345992,Clc1ccc(cc1)c2oc(cc2)C3=NOC(N3c4ccc(cc4)N5CCNCC5)c6ccncc6
1345993,Fc1ccc(nc1)C2ON=C(N2c3ccc(cc3)N4CCNCC4)c5oc(cc5)c6ccc(Cl)cc6
1345994,Clc1ccc(cc1)c2oc(cc2)C3=NOC(N3c4ccc(cc4)N5CCNCC5)c6ccncn6
1345996,CC(C)[C@]1(O)CC[C@]23OC(=O)CC[C@@]2(C)[C@@H](CCC3=C1)C(=C)C
1345997,CC(C)c1ccc2c(CC[C@@H](C(C)(C)O)[C@]2(C)CCC(=O)O)c1
1345998,C[C@H](c1nc(Nc2ccc(cc2)C#N)nc(N)c1C)c3c(F)cccc3F
